epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,2051.78,0.75877,0.46268,0.83175,0.94922,0.9529,0.97333,0.73761,1.02084,0.57893,0.88464,0.000441047,0.000441047,0.000441047
158,2065.72,0.74694,0.45509,0.83819,0.94343,0.95573,0.98068,0.73756,1.00075,0.5589,0.88046,0.000438047,0.000438047,0.000438047
159,2076.39,0.79934,0.47665,0.83707,0.93196,0.94051,0.97739,0.73777,1.00506,0.59067,0.88549,0.000435047,0.000435047,0.000435047
160,2090.24,0.75525,0.46439,0.83,0.94413,0.95846,0.97696,0.74957,0.97052,0.57433,0.8762,0.000432048,0.000432048,0.000432048
161,2104.09,0.77868,0.46616,0.83075,0.92709,0.96384,0.98133,0.74902,1.01256,0.55644,0.88619,0.000429048,0.000429048,0.000429048
162,2115.93,0.77007,0.46508,0.83891,0.93646,0.93229,0.97496,0.73728,1.00494,0.57392,0.88084,0.000426048,0.000426048,0.000426048
163,2128.36,0.74313,0.45967,0.8276,0.93026,0.92517,0.96731,0.73843,0.97405,0.54484,0.87807,0.000423049,0.000423049,0.000423049
164,2142.6,0.77926,0.46019,0.84115,0.9324,0.93571,0.97398,0.74829,1.0073,0.57206,0.88653,0.000420049,0.000420049,0.000420049
165,2153.75,0.75784,0.46076,0.83871,0.92776,0.93958,0.9598,0.74647,0.98856,0.5891,0.88094,0.000417049,0.000417049,0.000417049
166,2166.38,0.77629,0.46854,0.83741,0.92455,0.93268,0.97023,0.74379,0.99914,0.58484,0.87975,0.000414049,0.000414049,0.000414049
167,2180.32,0.73202,0.44186,0.83017,0.94594,0.95385,0.97875,0.74695,1.00912,0.5547,0.8875,0.00041105,0.00041105,0.00041105
168,2193.63,0.74315,0.45452,0.84248,0.93425,0.96484,0.96848,0.72815,1.00833,0.55235,0.88696,0.00040805,0.00040805,0.00040805
169,2205.45,0.75005,0.46055,0.8342,0.94185,0.94655,0.96801,0.72968,1.02542,0.56023,0.88766,0.00040505,0.00040505,0.00040505
170,2218.16,0.74722,0.46249,0.83683,0.93677,0.94556,0.9614,0.73424,0.9628,0.56159,0.87263,0.000402051,0.000402051,0.000402051
171,2231.86,0.74566,0.45213,0.83408,0.93787,0.9341,0.96151,0.74687,0.95697,0.56546,0.87412,0.000399051,0.000399051,0.000399051
172,2242.73,0.72159,0.44078,0.8269,0.94006,0.93378,0.9596,0.72549,0.9921,0.57281,0.88464,0.000396051,0.000396051,0.000396051
173,2256.26,0.72975,0.44223,0.83115,0.92701,0.93699,0.96937,0.74173,0.97364,0.56876,0.88117,0.000393052,0.000393052,0.000393052
174,2269.69,0.72928,0.44565,0.83138,0.92653,0.96593,0.98046,0.74644,0.99199,0.54614,0.88444,0.000390052,0.000390052,0.000390052
175,2280.77,0.72981,0.45127,0.82793,0.92488,0.95915,0.98227,0.75413,0.96081,0.55029,0.87639,0.000387052,0.000387052,0.000387052
176,2294.08,0.73266,0.45203,0.83514,0.93221,0.94987,0.97907,0.74383,0.98682,0.55051,0.88485,0.000384052,0.000384052,0.000384052
